Country/Region,Date,R,ci_65_l,ci_65_u
Brazil,2020-03-14,,,
Brazil,2020-03-15,,,
Brazil,2020-03-16,,,
Brazil,2020-03-17,,,
Brazil,2020-03-18,,,
Brazil,2020-03-19,,,
Brazil,2020-03-20,,,
Brazil,2020-03-21,,,
Brazil,2020-03-22,,,
Brazil,2020-03-23,,,
Brazil,2020-03-24,,,
Brazil,2020-03-25,,,
Brazil,2020-03-26,,,
Brazil,2020-03-27,,,
Brazil,2020-03-28,,,
Brazil,2020-03-29,,,
Brazil,2020-03-30,,,
Brazil,2020-03-31,,,
Brazil,2020-04-01,,,
Brazil,2020-04-02,,,
Brazil,2020-04-03,,,
Brazil,2020-04-04,,,
Brazil,2020-04-05,,,
Brazil,2020-04-06,,,
Brazil,2020-04-07,,,
Brazil,2020-04-08,,,
Brazil,2020-04-09,,,
Brazil,2020-04-10,,,
Brazil,2020-04-11,,,
Brazil,2020-04-12,,,
Brazil,2020-04-13,,,
Brazil,2020-04-14,,,
Brazil,2020-04-15,,,
Brazil,2020-04-16,,,
Brazil,2020-04-17,,,
Brazil,2020-04-18,,,
Brazil,2020-04-19,,,
Brazil,2020-04-20,,,
Brazil,2020-04-21,,,
Brazil,2020-04-22,,,
Brazil,2020-04-23,,,
Brazil,2020-04-24,,,
Brazil,2020-04-25,,,
Brazil,2020-04-26,,,
Brazil,2020-04-27,,,
Brazil,2020-04-28,,,
Brazil,2020-04-29,,,
Brazil,2020-04-30,,,
Brazil,2020-05-01,,,
Brazil,2020-05-02,,,
Brazil,2020-05-03,,,
Brazil,2020-05-04,,,
Brazil,2020-05-05,,,
Brazil,2020-05-06,,,
Brazil,2020-05-07,,,
Brazil,2020-05-08,,,
Brazil,2020-05-09,,,
Brazil,2020-05-10,,,
Brazil,2020-05-11,,,
Brazil,2020-05-12,,,
Brazil,2020-05-13,,,
Brazil,2020-05-14,,,
Brazil,2020-05-15,,,
Brazil,2020-05-16,,,
Brazil,2020-05-17,,,
Brazil,2020-05-18,,,
Brazil,2020-05-19,,,
Brazil,2020-05-20,,,
Brazil,2020-05-21,,,
Brazil,2020-05-22,,,
Brazil,2020-05-23,,,
Brazil,2020-05-24,,,
Brazil,2020-05-25,,,
Brazil,2020-05-26,,,
Brazil,2020-05-27,,,
Brazil,2020-05-28,,,
Brazil,2020-05-29,,,
Brazil,2020-05-30,,,
Brazil,2020-05-31,,,
Brazil,2020-06-01,,,
Brazil,2020-06-02,,,
Brazil,2020-06-03,,,
Brazil,2020-06-04,,,
Brazil,2020-06-05,,,
Brazil,2020-06-06,,,
Brazil,2020-06-07,,,
Brazil,2020-06-08,,,
Brazil,2020-06-09,,,
Brazil,2020-06-10,,,
Brazil,2020-06-11,,,
Brazil,2020-06-12,,,
Brazil,2020-06-13,,,
Brazil,2020-06-14,,,
Brazil,2020-06-15,,,
Brazil,2020-06-16,,,
Brazil,2020-06-17,,,
Brazil,2020-06-18,,,
Brazil,2020-06-19,,,
Brazil,2020-06-20,,,
Brazil,2020-06-21,,,
Brazil,2020-06-22,,,
Brazil,2020-06-23,,,
Brazil,2020-06-24,,,
Brazil,2020-06-25,,,
Brazil,2020-06-26,,,
Brazil,2020-06-27,,,
Brazil,2020-06-28,,,
Brazil,2020-06-29,,,
Brazil,2020-06-30,,,
Brazil,2020-07-01,,,
Brazil,2020-07-02,,,
Brazil,2020-07-03,,,
Brazil,2020-07-04,,,
Brazil,2020-07-05,,,
Brazil,2020-07-06,,,
Brazil,2020-07-07,,,
Brazil,2020-07-08,,,
Brazil,2020-07-09,,,
Brazil,2020-07-10,,,
Brazil,2020-07-11,,,
Brazil,2020-07-12,,,
Brazil,2020-07-13,,,
Brazil,2020-07-14,,,
Brazil,2020-07-15,,,
Brazil,2020-07-16,,,
Brazil,2020-07-17,,,
Brazil,2020-07-18,,,
Brazil,2020-07-19,,,
Brazil,2020-07-20,,,
Brazil,2020-07-21,,,
Brazil,2020-07-22,,,
Brazil,2020-07-23,,,
Brazil,2020-07-24,,,
Brazil,2020-07-25,,,
Brazil,2020-07-26,,,
Brazil,2020-07-27,,,
Brazil,2020-07-28,,,
Brazil,2020-07-29,,,
Brazil,2020-07-30,,,
Brazil,2020-07-31,,,
Brazil,2020-08-01,,,
Brazil,2020-08-02,,,
Brazil,2020-08-03,,,
Brazil,2020-08-04,,,
Brazil,2020-08-05,,,
Brazil,2020-08-06,,,
Brazil,2020-08-07,,,
Brazil,2020-08-08,,,
Brazil,2020-08-09,,,
Brazil,2020-08-10,,,
Brazil,2020-08-11,,,
Brazil,2020-08-12,,,
Brazil,2020-08-13,,,
Brazil,2020-08-14,,,
Brazil,2020-08-15,,,
Brazil,2020-08-16,,,
Brazil,2020-08-17,,,
Brazil,2020-08-18,,,
Brazil,2020-08-19,,,
Brazil,2020-08-20,,,
Brazil,2020-08-21,,,
Brazil,2020-08-22,,,
Brazil,2020-08-23,,,
Brazil,2020-08-24,,,
Brazil,2020-08-25,,,
Brazil,2020-08-26,,,
Brazil,2020-08-27,,,
Brazil,2020-08-28,,,
Brazil,2020-08-29,,,
Brazil,2020-08-30,,,
Brazil,2020-08-31,,,
Brazil,2020-09-01,,,
Brazil,2020-09-02,,,
Brazil,2020-09-03,,,
Brazil,2020-09-04,,,
Brazil,2020-09-05,,,
Brazil,2020-09-06,,,
Brazil,2020-09-07,,,
Brazil,2020-09-08,,,
Brazil,2020-09-09,,,
Brazil,2020-09-10,,,
Brazil,2020-09-11,,,
Brazil,2020-09-12,,,
Brazil,2020-09-13,,,
Brazil,2020-09-14,,,
Brazil,2020-09-15,,,
Brazil,2020-09-16,,,
Brazil,2020-09-17,,,
Brazil,2020-09-18,,,
Brazil,2020-09-19,,,
Brazil,2020-09-20,,,
Brazil,2020-09-21,,,
Brazil,2020-09-22,,,
Brazil,2020-09-23,,,
Brazil,2020-09-24,,,
Brazil,2020-09-25,,,
Brazil,2020-09-26,,,
Brazil,2020-09-27,,,
Brazil,2020-09-28,,,
Brazil,2020-09-29,,,
Brazil,2020-09-30,,,
Brazil,2020-10-01,,,
Brazil,2020-10-02,,,
Brazil,2020-10-03,,,
Brazil,2020-10-04,,,
Brazil,2020-10-05,,,
Brazil,2020-10-06,,,
Brazil,2020-10-07,,,
Brazil,2020-10-08,,,
Brazil,2020-10-09,,,
Brazil,2020-10-10,,,
Brazil,2020-10-11,,,
Brazil,2020-10-12,,,
Brazil,2020-10-13,,,
Brazil,2020-10-14,,,
Brazil,2020-10-15,,,
Brazil,2020-10-16,,,
Brazil,2020-10-17,,,
Brazil,2020-10-18,,,
Brazil,2020-10-19,,,
Brazil,2020-10-20,,,
Brazil,2020-10-21,,,
Brazil,2020-10-22,,,
Brazil,2020-10-23,,,
Brazil,2020-10-24,,,
Brazil,2020-10-25,,,
Brazil,2020-10-26,,,
Brazil,2020-10-27,,,
Brazil,2020-10-28,,,
Brazil,2020-10-29,,,
Brazil,2020-10-30,,,
Brazil,2020-10-31,,,
Brazil,2020-11-01,,,
Brazil,2020-11-02,,,
Brazil,2020-11-03,,,
Brazil,2020-11-04,,,
Brazil,2020-11-05,,,
Brazil,2020-11-06,,,
Brazil,2020-11-07,,,
Brazil,2020-11-08,,,
Brazil,2020-11-09,,,
Brazil,2020-11-10,,,
Brazil,2020-11-11,,,
Brazil,2020-11-12,,,
Brazil,2020-11-13,,,
Brazil,2020-11-14,,,
Brazil,2020-11-15,,,
Brazil,2020-11-16,,,
Brazil,2020-11-17,,,
Brazil,2020-11-18,,,
Brazil,2020-11-19,,,
Brazil,2020-11-20,,,
Brazil,2020-11-21,,,
Brazil,2020-11-22,,,
Brazil,2020-11-23,,,
Brazil,2020-11-24,,,
Brazil,2020-11-25,,,
Brazil,2020-11-26,,,
Brazil,2020-11-27,,,
Brazil,2020-11-28,,,
Brazil,2020-11-29,,,
Brazil,2020-11-30,,,
Brazil,2020-12-01,,,
Brazil,2020-12-02,,,
Brazil,2020-12-03,,,
Brazil,2020-12-04,,,
Brazil,2020-12-05,,,
Brazil,2020-12-06,,,
Brazil,2020-12-07,,,
Brazil,2020-12-08,,,
Brazil,2020-12-09,,,
Brazil,2020-12-10,,,
Brazil,2020-12-11,,,
Brazil,2020-12-12,,,
Brazil,2020-12-13,,,
Brazil,2020-12-14,,,
Brazil,2020-12-15,,,
Brazil,2020-12-16,,,
Brazil,2020-12-17,,,
Brazil,2020-12-18,,,
Brazil,2020-12-19,,,
Brazil,2020-12-20,,,
Brazil,2020-12-21,,,
Brazil,2020-12-22,,,
Brazil,2020-12-23,,,
Brazil,2020-12-24,,,
Brazil,2020-12-25,,,
Brazil,2020-12-26,,,
Brazil,2020-12-27,,,
Brazil,2020-12-28,,,
Brazil,2020-12-29,,,
Brazil,2020-12-30,,,
Brazil,2020-12-31,,,
Brazil,2021-01-01,,,
Brazil,2021-01-02,,,
Brazil,2021-01-03,,,
Brazil,2021-01-04,,,
Brazil,2021-01-05,,,
Brazil,2021-01-06,,,
Brazil,2021-01-07,,,
Brazil,2021-01-08,,,
Brazil,2021-01-09,,,
Brazil,2021-01-10,,,
Brazil,2021-01-11,,,
Brazil,2021-01-12,,,
Brazil,2021-01-13,,,
Brazil,2021-01-14,,,
Brazil,2021-01-15,,,
Brazil,2021-01-16,,,
Brazil,2021-01-17,,,
Brazil,2021-01-18,,,
Brazil,2021-01-19,,,
Brazil,2021-01-20,,,
Brazil,2021-01-21,,,
Brazil,2021-01-22,,,
Brazil,2021-01-23,,,
Brazil,2021-01-24,,,
Brazil,2021-01-25,,,
Brazil,2021-01-26,,,
Brazil,2021-01-27,,,
Brazil,2021-01-28,,,
Brazil,2021-01-29,,,
Brazil,2021-01-30,,,
Brazil,2021-01-31,,,
Brazil,2021-02-01,,,
Brazil,2021-02-02,,,
Brazil,2021-02-03,,,
Brazil,2021-02-04,,,
Brazil,2021-02-05,,,
Brazil,2021-02-06,,,
Brazil,2021-02-07,,,
Brazil,2021-02-08,,,
Brazil,2021-02-09,,,
Brazil,2021-02-10,,,
Brazil,2021-02-11,,,
Brazil,2021-02-12,,,
Brazil,2021-02-13,,,
Brazil,2021-02-14,,,
