S,E,I,R,total_cases,time,eff_repr_number,gr_I
10999863.258123916,37.47061312670176,56.667733932840605,43.603529032936216,100.27126296577683,67,2.5999696240348436,
10999853.369186986,40.15366291611558,60.72541363187758,46.75173647364958,107.47715010552716,68,2.599967442832249,0.07160476372402513
10999842.772166578,43.028825070560096,65.07363779431687,50.12537056430944,115.1990083586263,69,2.599965105447369,0.07160468578770951
10999831.416363075,46.10985452071019,69.73320974666339,53.74057266399371,123.4737824106571,70,2.5999626006973187,0.07160460226727117
10999819.247446964,49.41149091729035,74.72642225403662,57.61463987214167,132.3410621261783,71,2.5999599165985527,0.071604512763908
10999806.207198977,52.949529111137004,80.07716414282119,61.76610777514371,141.8432719179649,72,2.5999570403095515,0.07160441684996544
10999792.233231662,56.74089467534815,85.81103455369508,66.21483911641155,152.02587367010662,73,2.5999539580693987,0.07160431406695777
10999777.258690992,60.80372482986722,91.9554653707576,70.98211881383907,162.93758418459666,74,2.5999506551319698,0.07160420392342104
10999761.211936662,65.15745515454729,98.5398524114592,76.09075577888116,174.63060819034035,75,2.599947115695406,0.07160408589259859
10999744.016199473,69.82291250426681,105.59569600379106,81.56519202396223,187.1608880277533,76,2.5999433228265456,0.07160395940994269
10999725.589214234,74.82241456914534,113.15675162192235,87.43161957972839,200.58837120165074,77,2.5999392583799428,0.07160382387043351
10999705.84282637,80.17987655447665,121.25919129938623,93.7181057809463,214.97729708033253,78,2.5999349029111003,0.07160367862569639
10999684.682570405,85.9209254888022,129.9417765902385,100.4547275198011,230.3965041100396,79,2.5999302355834844,0.07160352298091088
10999662.007218286,92.07302270474753,139.24604390358465,107.67371510814768,246.9197590117323,80,2.5999252340688925,0.07160335619149216
10999637.708295394,98.66559507600627,149.21650309575148,115.4096064361246,264.62610953187607,81,2.5999198744406975,0.07160317745953693
10999611.669561936,105.73017563535745,159.90085026744168,123.69941216366635,283.60026243110804,82,2.599914131059445,0.07160298593000869
10999583.766457243,113.30055424303579,171.35019578075082,132.5827927340798,303.93298851483064,83,2.599907976450278,0.07160278068665415
10999553.86550434,121.41293902234301,183.61930858325871,142.10224805523262,325.7215566384914,84,2.5999013811715868,0.0716025607476205
10999521.82367191,130.10612933031052,196.76687800387015,152.30332075430255,349.07019875817275,85,2.59989431367427,0.07160232506076514
10999487.487690669,139.42170108573012,210.85579426803108,163.2348139767398,374.0906082447709,86,2.59988674015093,0.07160207249862349
10999450.693320826,149.40420533521066,225.95344906877233,174.94902476940817,400.9024738381805,87,2.5998786243742833,0.07160180185302267
10999411.264567213,160.10138100035485,242.13205762514173,187.50199416211774,429.6340517872595,88,2.59986992752402,0.07160151182930252
10999369.012838284,171.5643828159667,259.46900376142,200.95377514129228,460.42277890271237,89,2.5998606080012863,0.07160120104013079
10999323.736045018,183.84802554069435,278.0472096495398,215.3687197947045,493.4159294442444,90,2.5998506212299017,0.07160086799887022
